id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
43100771,Anderson (1963),1963,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2689,0.2141,['Post-test unadjusted (select one from this group)'],"(-10) Sequential Test of Educational Progress, Mathematics Test /+40",With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2689,0.2141,NA,NA,NA,NA,NA,NA,120,6,2,['Secondary/High school'],"['14', '15']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Research staff', 'Class teachers']",15,5,60,['Toolkit: Reducing class size']
43100772,Averill (1925),1925,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3083,0.2235,['Pre-post gain'],(-20) Reading Score Sep to Jan Gain,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3083,0.2235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1,2,['Primary/elementary school'],"['9', '10', '11', '12', '13', '14', '15']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],15,5,25,['Toolkit: Reducing class size']
50328534,Boozer (2001),2001,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Other outcome']",0.3742,0.1043,['Post-test adjusted for baseline attainment AND clustering'],(-10) Combined Achievement ,With business as usual,['Sample: All'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19685,756,NA,['Secondary/High school'],"['13', '14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],152,Not applicable.,Not applicable.,['Toolkit: Reducing class size']
43100849,Butler (1989),1989,['Technical report'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.51,0.0555,['Post-test unadjusted (select one from this group)'],(-10) Stanford Achievement Test ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.51,0.0555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343,NA,NA,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Retrospective QED  '],['Other (Explain in notes)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],52,5,360,['Toolkit: Reducing class size']
43100784,Cook (1970),1970,['Technical report'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1657,0.1078,['Post-test unadjusted (select one from this group)'],(-10) WRAT (Reading),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1657,0.1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374,NA,23,"['Primary/elementary school', 'Middle school']",['No information provided'],NA,NA,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",54,5,360,['Toolkit: Reducing class size']
43100786,Cram (1968),1968,['Dissertation or thesis'],['Reducing class size'],['Toolkit primary outcome'],0.0473,0.2418,['Post-test adjusted for baseline attainment'],(-15) Business Law (adjusted post-test),With active control,['Sample: All'],Curriculum  other,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,1,NA,['Secondary/High school'],"['14', '15', '16', '17', '18']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],19,5,regular teaching timetable for each subject,NA
43100788,Davis (1930),1930,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Other outcome']",0.5119,0.1719,['Post-test unadjusted (select one from this group)'],(-35) Unit 1. 'Westward Movement',With business as usual,['Sample: All'],Curriculum  other,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,1,NA,['Middle school'],"['12', '13']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],13 ,5,120,['Toolkit: Reducing class size']
43100925,Davis (2000),2000,['Dissertation or thesis'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.106,0.094,['Post-test unadjusted (select one from this group)'],(-10) Reading Gain,With business as usual,['Sample: All'],Literacy  reading other,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.106,0.094,NA,NA,NA,['Mathematics primary outcome'],-0.0128,0.094,NA,NA,NA,NA,NA,NA,457,14,28,['Primary/elementary school'],"['6', '7']",FALSE,35.9,['USA'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,60,['Toolkit: Reducing class size']
43100851,Doss (1982) 1_1,1982,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2893,0.1111,['Post-test unadjusted (select one from this group)'],(-10) Reading Score (Grade 2),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2893,0.1111,NA,NA,NA,['Mathematics primary outcome'],-0.0298,0.1211,NA,NA,NA,NA,NA,NA,654,NA,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],70,5,45,['Toolkit: Reducing class size']
49106814,Doss (1982) 1_2,1982,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1919,0.0483,['Post-test unadjusted (select one from this group)'],(-10) Reading Score (Grade 3),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1919,0.0483,NA,NA,NA,['Mathematics primary outcome'],-0.0246,0.0906,NA,NA,NA,NA,NA,NA,755,NA,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],70,5,45,['Toolkit: Reducing class size']
49106815,Doss (1982) 1_3,1982,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1142,0.0739,['Post-test unadjusted (select one from this group)'],(-10) Reading Score (Grade 4),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1142,0.0739,NA,NA,NA,['Mathematics primary outcome'],0.249,0.141,NA,NA,NA,NA,NA,NA,656,NA,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],70,5,45,['Toolkit: Reducing class size']
49106816,Doss (1982) 1_4,1982,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2112,0.0745,['Post-test unadjusted (select one from this group)'],(-10) Reading Score (Grade 5),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2112,0.0745,NA,NA,NA,['Mathematics primary outcome'],0.213,0.1604,NA,NA,NA,NA,NA,NA,478,NA,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],70,5,45,['Toolkit: Reducing class size']
49106817,Doss (1982) 1_5,1982,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.085,0.0569,['Post-test unadjusted (select one from this group)'],(-10) Reading Score (Grade 6),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.085,0.0569,NA,NA,NA,['Mathematics primary outcome'],-0.0864,0.1362,NA,NA,NA,NA,NA,NA,752,NA,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],NA,70,5,45,['Toolkit: Reducing class size']
43100872,Duflo (2012),2012,['Technical report'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.166,0.11,['Post-test unadjusted (select one from this group)'],(-40) Literacy Score ETP school+SBM,With active control,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.166,0.11,NA,NA,NA,['Mathematics primary outcome'],0.201,0.016,NA,NA,NA,NA,NA,NA,3500,140,NA,['Primary/elementary school'],"['5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA,NA,['Kenya'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants', 'External teachers']",72,5,360,['Toolkit: Reducing class size']
43100799,Frymier (1964),1964,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.329,0.0983,['Post-test unadjusted (select one from this group)'],(-8) Williams Primary Reading Test,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.329,0.0983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420,12,15,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,360,['Toolkit: Reducing class size']
43100930,Haenn (2002) 1_1,2002,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.2732,0.1256,NA,(-5) Maximum Letter Identification - Kindergarten,With business as usual,NA,Literacy  reading other,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.2732,0.1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,5,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,this is not specified,45,NA
49106823,Haenn (2002) 1_2,2002,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0161,0.1054,['Post-test unadjusted (select one from this group)'],(-5) Text Reading Level  Grade 1,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0161,0.1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,6,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['6', '7']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",36,not specified,45,['Toolkit: Reducing class size']
49106824,Haenn (2002) 1_3,2002,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1246,0.1326,['Post-test unadjusted (select one from this group)'],(-5) Maximum Text Reading Level - Grade 2,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1246,0.1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,6,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,this isn't specified,45,['Toolkit: Reducing class size']
49106826,Haenn (2002) 1_5,2002,['Conference paper'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.082,0.1325,['Post-test unadjusted (select one from this group)'],(-5) Maximum text Reading Level - Fourth Grade Students,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.082,0.1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,6,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['9', '10']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['Yes'],['During regular school hours '],['Class teachers'],36,not specified,45,['Toolkit: Reducing class size']
43100804,Haskell (1964),1964,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0539,0.2107,['Post-test unadjusted (select one from this group)'],(-15) Geometry small v large groups,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0539,0.2107,NA,NA,NA,NA,NA,NA,103 ,1,4,['Secondary/High school'],"['11', '12']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],NA,NA,NA,NA,NA,NA,36,not stated,not stated,['Toolkit: Reducing class size']
43100810,Johnson (1967),1967,['Journal article'],['Reducing class size'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0551,0.0331,['Post-test adjusted for baseline attainment'],(-10) Iowa Test of Basic Skills (Reading) Grade 7 & 8 Combined,With active control,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0551,0.0331,NA,NA,NA,['Mathematics primary outcome'],0.0945,0.0546,NA,NA,NA,NA,NA,NA,3780,NA,265,['Secondary/High school'],"['12', '13', '14']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],36,5,360,['Toolkit: Reducing class size']
43100933,Lapsely (2002),2002,['Conference paper'],"['Reducing class size', 'Teaching assistants']","['Toolkit primary outcome', 'Reading primary outcome']",-0.2584,0.0578,['Post-test adjusted for baseline attainment AND clustering'],(-10) ISTEP Language,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2584,0.0578,NA,NA,NA,['Mathematics primary outcome'],-0.2356,0.0578,NA,NA,NA,NA,NA,NA,1481,78,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Regression Continuity  - naturally occurring'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",2,5,300,['Toolkit: Reducing class size']
