id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5
43100503,Arbuthnot (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grades (GPA) f-value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100188,Artley (1985),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Iowa test of basic skills,['Other outcome'],Secondary outcome(s),California Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100726,Ashdown (2011) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Inde-pendent  Text  Reading  Level,['Other outcome'],Secondary outcome(s),Social Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325666,Ashdown (2011) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Independent  Text  Reading  Level,['Other outcome'],Secondary outcome(s),Social Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100405,August (2002),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Academic Achievement (f-test; F value of interaction treatment x time),['Other outcome'],Secondary outcome(s),"Academic Achievement (ES based on main effects - calculated by authors, without SE)	",NA,NA,NA,NA,NA,NA,NA,NA,NA
43100270,Bavarian (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,['Mathematics primary outcome'],Secondary outcome(s),Math,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100337,Bierman (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Spache Diagnostic Reading Scale,['Mathematics primary outcome'],Secondary outcome(s),Math Grade,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100253,Bierman (2008),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,TOLD: Gramm.Underst.- SEL: Head start,['Other outcome'],Secondary outcome(s),Expressive Vocab. -SEL: Head start,['Other outcome'],Secondary outcome(s),Blending - SEL: Head start,NA,NA,NA,NA,NA,NA
43100698,Brackett (2012),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Math grades (posttest adjusted),['Reading primary outcome'],Secondary outcome(s),English language arts,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100259,Brigman (2003) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening Compreh. - RTL (Low),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325669,Brigman (2003) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening Compreh. - RTL (M),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325670,Brigman (2003) 1_3,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening Comprehension. RTL (H),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100072,Cauce (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,IOWA Test of Basic Skills,['Mathematics primary outcome'],Secondary outcome(s),IOWA Test of Basic Skills (Maths),NA,NA,NA,NA,NA,NA,NA,NA,NA
40134230,Coie (1984),['Other outcome'],Primary outcome,California Achievement Test (Reading Vocabulary),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),California Achievement Test (Reading Comprehension),['Other outcome'],Secondary outcome(s),California Achievement Test (Mathematics Computation),['Other outcome'],Secondary outcome(s),California Achievement Test (Mathematics applications),NA,NA,NA
40134147,Conduct (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Spache Reading - Be. Int.h,['Mathematics primary outcome'],Secondary outcome(s),Maths grades - Beh.Int.,['Writing and spelling primary outcome.'],Secondary outcome(s),Language Arts -Beh.Int.,NA,NA,NA,NA,NA,NA
43100213,Cook (1999),['Other outcome'],Primary outcome,Maryland Functional Math Scores (Cohort 1),['Other outcome'],Primary outcome,Maryland Functional Math Scores (Cohort 2),['Other outcome'],Primary outcome,Maryland Functional Math Scores (Cohort 3),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maryland Functional Math Scores: All cohorts,NA,NA,NA
43100144,Cowen (1966),['Other outcome'],Secondary outcome(s),Grade Point ratio,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SRA: Comprehension,['Mathematics primary outcome'],Secondary outcome(s),SRA: Computation,['Other outcome'],Secondary outcome(s),SRA: vocabulary,['Science primary outcome'],Secondary outcome(s),SRA: Concepts
43100068,Felner (1982),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA: combined -Transition project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100769,Flay (2001) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement,['Mathematics primary outcome'],Secondary outcome(s),Math Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA
46325673,Flay (2001) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT-3 Reading,['Mathematics primary outcome'],Secondary outcome(s),SAT-3 Math,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100649,Flay (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HCPS - Reading -Positive Action,['Mathematics primary outcome'],Secondary outcome(s),HCPS: Maths  -Positive Action,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100523,Foley (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Scale Scores (Grade 4),['Mathematics primary outcome'],Secondary outcome(s),Math Scale Score (Grade 4),NA,NA,NA,NA,NA,NA,NA,NA,NA
43100029,Gottfredson (1986),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Average Grade (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269808,Grant (1995) SEL,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Coopersmith Self-Esteem Inventory,['Other outcome'],Secondary outcome(s),Grade Point Average (Post test),NA,NA,NA,NA,NA,NA,NA,NA,NA
43100061,Hawkins (1999),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,['Other outcome'],Secondary outcome(s),School Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100235,Horner (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,State Reading Test (t-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100100,Hundert (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
