id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,ss_aim,ss_aim_catch_up,ss_aim_enrich,ss_aim_trans,ss_aim_gifted,ss_aim_unclear,ss_pupil_part,ss_resid_comp,ss_grp_size,ss_act_focus,ss_staff_kind,ss_par_invol,ss_dig_tech,ss_attendance
39253274,Allen (2003),2003,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0395,0.3727,['Post-test unadjusted (select one from this group)'],Reading Ability- Summer Schools group,With active control,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0395,0.3727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,1,['Primary/elementary school'],"['5', '6']",TRUE,50.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],2.6,5,180,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['Yes'],['No / not mentioned'],['Yes']
47269764,Allerhand (1965) SS,1965,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Other outcome']",0.2822,0.1722,['Pre-post gain'],Preschool Inventory Scores,With business as usual,['Sample: All'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228 ,17,25,['Primary/elementary school'],"['5', '6']",TRUE,80.0,['USA'],['Individual RCT'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Class teachers'],Not specified,not specified,not specified,['Toolkit: Summer schools'],['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Not mentioned'],['Unsure'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253276,Bakle (2010),2010,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1925,0.05,['Post-test adjusted for baseline attainment'],Reading_all grades,,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1925,0.05,NA,NA,NA,['Mathematics primary outcome'],0.0203,0.0471,NA,NA,NA,NA,NA,NA,1706,11,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11']",FALSE,46.0,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['Summer/ holiday period'],"['Class teachers', 'External teachers']",12,5,60,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['Yes']
42059739,Beach (2004),2004,['Dissertation or thesis'],"['Parental engagement', 'Phonics', 'Summer schools']","['Toolkit primary outcome', 'Reading primary outcome']",0.419,0.125,['Post-test adjusted for baseline attainment'],DIBELS,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.419,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,5,NA,['Nursery school/pre-school'],"['4', '5']",TRUE,62.0,['USA'],['Regression Discontinuity - not randomised'],"['Large group/class teaching (+6)', 'Other (Explain in notes)']",['Yes (Please specify)'],['No'],['Yes'],['Summer/ holiday period'],"['Class teachers', 'Teaching assistants']",5,5,150,"['Toolkit: Parental engagement', 'Toolkit: Phonics', 'Toolkit: Summer schools']","['School transition', 'Enrichment or compensation for disadvantage']",NA,['Enrichment or compensation for disadvantage'],['School transition'],NA,NA,['Not mentioned'],['No'],['One-to-one or individual teaching'],['Adademic only'],"['Qualified teachers', 'Teaching assistants/ paraprofessionals']",['Yes'],['No / not mentioned'],['Yes']
39253250,Borman (2006),2006,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0554,0.1087,['Post-test adjusted for baseline attainment'],"Comprehensive Test of Basic Skills, 4th Edition - CTBS/4 - Reading Comprehension",With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0554,0.1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647,10,NA,['Primary/elementary school'],"['5', '6', '7']",TRUE,85.0,['USA'],['Individual RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Lay persons/volunteers'],7,5,360,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['One-to-one or individual teaching', 'Small group (2 - 5 pupils)']",['Academic and cultural or artistic'],['Volunteers (unpaid)'],['No / not mentioned'],['No / not mentioned'],['Yes']
39253387,Borman (2009),2009,['Journal article'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.69,['Post-test adjusted for baseline attainment'],Developmental Reading Assessment (DRA) ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,4,NA,"['Primary/elementary school', 'Other educational setting (please specify)']","['6', '5']",TRUE,77.0,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['Summer/ holiday period'],"['External teachers', 'Lay persons/volunteers']",6,5,360,['Toolkit: Summer schools'],['Enrichment or compensation for disadvantage'],NA,['Enrichment or compensation for disadvantage'],NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],['Academic and cultural or artistic'],"['Qualified teachers', 'Young people/adults (paid)', 'Other (please specify)']",['No / not mentioned'],['No / not mentioned'],['Yes']
39253312,Branch (1986),1986,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1035,0.0518,['Post-test adjusted for baseline attainment'],MAT-Reading,With business as usual,['Sample: Low achievers'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1035,0.0518,NA,NA,NA,['Mathematics primary outcome'],0.1723,0.0518,NA,NA,NA,NA,NA,NA,1353,NA,NA,"['Secondary/High school', 'Other educational setting (please specify)']","['14', '15']",TRUE,61.0,['USA'],['Multisite RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],"['Class teachers', 'External teachers', 'Digital technology']",7,5,60,['Toolkit: Summer schools'],"['Catch-up or remediation', 'Enrichment or compensation for disadvantage']",['Catch-up or remediation'],['Enrichment or compensation for disadvantage'],NA,NA,NA,['Not mentioned'],['No'],"['One-to-one or individual teaching', 'Small group (2 - 5 pupils)', 'Large group (6-15 pupils)', 'Class size (16+)']",['Academic and vocational skills'],"['Qualified teachers', 'Teaching assistants/ paraprofessionals', 'Other (please specify)']",['No / not mentioned'],['Yes'],['Yes']
39253196,Brody (1984),1984,['Dissertation or thesis'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0224,0.161,['Post-test adjusted for baseline attainment'],SAT-V,With business as usual,['Sample: High achievers'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0224,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,NA,NA,['Middle school'],"['13', '12']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Summer/ holiday period'],['Research staff'],6,Not specified,Not specified,['Toolkit: Summer schools'],['Acceleration and/of gifted and talented'],NA,NA,NA,['Acceleration and/of gifted and talented'],NA,['Voluntary or optional'],['Yes'],['Class size (16+)'],['Adademic only'],['Qualified teachers'],['No / not mentioned'],['No / not mentioned'],['No / not mentioned']
39253388,Chaplin (2006),2006,['Technical report'],['Summer schools'],"['Toolkit primary outcome', 'Reading primary outcome']",0.08,0.0425,['Post-test adjusted for baseline attainment'],Gates-MacGinitie Reading tests - Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.08,0.0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,822,NA,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10', '11', '12']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['Yes'],['Summer/ holiday period'],['Class teachers'],6,5,480,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],['Large group (6-15 pupils)'],NA,"['Qualified teachers', 'Teaching assistants/ paraprofessionals']",['Yes'],['No / not mentioned'],['No / not mentioned']
39253281,Cleary (2001),2001,['Dissertation or thesis'],"['Summer schools', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.9813,0.2806,['Post-test adjusted for baseline attainment'],Phonemic Awareness Interview (PAI),With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.9813,0.2806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,5,NA,['Primary/elementary school'],"['5', '6']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['Yes'],['Summer/ holiday period'],['Class teachers'],5,5,240,['Toolkit: Summer schools'],['Catch-up or remediation'],['Catch-up or remediation'],NA,NA,NA,NA,['Voluntary or optional'],['No'],"['One-to-one or individual teaching', 'Small group (2 - 5 pupils)', 'Large group (6-15 pupils)']",['Academic and social'],['Qualified teachers'],['Yes'],['No / not mentioned'],['No / not mentioned']
