id,pub_author,pub_year,strand_raw,strand_info,out_tit_tool,out_tit_tool_CLEAN,out_desc_tool,out_desc_tool_CLEAN,out_type_tool,out_type_tool_CLEAN,smd_tool,smd_tool_CLEAN,se_tool,se_tool_CLEAN,out_measure_tool,out_measure_tool_CLEAN,out_g1_n_tool,out_g1_n_tool_CLEAN,out_g1_mean_tool,out_g1_mean_tool_CLEAN,out_g1_sd_tool,out_g1_sd_tool_CLEAN,out_g2_n_tool,out_g2_n_tool_CLEAN,out_g2_mean_tool,out_g2_mean_tool_CLEAN,out_g2_sd_tool,out_g2_sd_tool_CLEAN,ci_lower_tool,ci_lower_tool_CLEAN,ci_upper_tool,ci_upper_tool_CLEAN,out_label_tool,out_label_tool_CLEAN,out_samp_tool,out_samp_tool_CLEAN,out_comp_tool,out_comp_tool_CLEAN,out_es_type_tool,out_es_type_tool_CLEAN,out_test_type_raw_tool,out_test_type_raw_tool_CLEAN,out_tit_red,out_tit_red_CLEAN,out_desc_red,out_desc_red_CLEAN,out_type_red,out_type_red_CLEAN,smd_red,smd_red_CLEAN,se_red,se_red_CLEAN,out_measure_red,out_measure_red_CLEAN,out_g1_n_red,out_g1_n_red_CLEAN,out_g1_mean_red,out_g1_mean_red_CLEAN,out_g1_sd_red,out_g1_sd_red_CLEAN,out_g2_n_red,out_g2_n_red_CLEAN,out_g2_mean_red,out_g2_mean_red_CLEAN,out_g2_sd_red,out_g2_sd_red_CLEAN,ci_lower_red,ci_lower_red_CLEAN,ci_upper_red,ci_upper_red_CLEAN,out_label_red,out_label_red_CLEAN,out_samp_red,out_samp_red_CLEAN,out_comp_red,out_comp_red_CLEAN,out_es_type_red,out_es_type_red_CLEAN,out_test_type_raw_red,out_test_type_raw_red_CLEAN,out_tit_wri,out_tit_wri_CLEAN,out_desc_wri,out_desc_wri_CLEAN,out_type_wri,out_type_wri_CLEAN,smd_wri,smd_wri_CLEAN,se_wri,se_wri_CLEAN,out_measure_wri,out_measure_wri_CLEAN,out_g1_n_wri,out_g1_n_wri_CLEAN,out_g1_mean_wri,out_g1_mean_wri_CLEAN,out_g1_sd_wri,out_g1_sd_wri_CLEAN,out_g2_n_wri,out_g2_n_wri_CLEAN,out_g2_mean_wri,out_g2_mean_wri_CLEAN,out_g2_sd_wri,out_g2_sd_wri_CLEAN,ci_lower_wri,ci_lower_wri_CLEAN,ci_upper_wri,ci_upper_wri_CLEAN,out_label_wri,out_label_wri_CLEAN,out_samp_wri,out_samp_wri_CLEAN,out_comp_wri,out_comp_wri_CLEAN,out_es_type_wri,out_es_type_wri_CLEAN,out_test_type_raw_wri,out_test_type_wri_CLEAN,out_tit_math,out_tit_math_CLEAN,out_desc_math,out_desc_math_CLEAN,out_type_math,out_type_math_CLEAN,smd_math,smd_math_CLEAN,se_math,se_math_CLEAN,out_measure_math,out_measure_math_CLEAN,out_g1_n_math,out_g1_n_math_CLEAN,out_g1_mean_math,out_g1_mean_math_CLEAN,out_g1_sd_math,out_g1_sd_math_CLEAN,out_g2_n_math,out_g2_n_math_CLEAN,out_g2_mean_math,out_g2_mean_math_CLEAN,out_g2_sd_math,out_g2_sd_math_CLEAN,ci_lower_math,ci_lower_math_CLEAN,ci_upper_math,ci_upper_math_CLEAN,out_label_math,out_label_math_CLEAN,out_samp_math,out_samp_math_CLEAN,out_comp_math,out_comp_math_CLEAN,out_es_type_math,out_es_type_math_CLEAN,out_test_type_raw_math,out_test_type_math_CLEAN,out_tit_sci,out_tit_sci_CLEAN,out_desc_sci,out_desc_sci_CLEAN,out_type_sci,out_type_sci_CLEAN,smd_sci,smd_sci_CLEAN,se_sci,se_sci_CLEAN,out_measure_sci,out_measure_sci_CLEAN,out_g1_n_sci,out_g1_n_sci_CLEAN,out_g1_mean_sci,out_g1_mean_sci_CLEAN,out_g1_sd_sci,out_g1_sd_sci_CLEAN,out_g2_n_sci,out_g2_n_sci_CLEAN,out_g2_mean_sci,out_g2_mean_sci_CLEAN,out_g2_sd_sci,out_g2_sd_sci_CLEAN,ci_lower_sci,ci_lower_sci_CLEAN,ci_upper_sci,ci_upper_sci_CLEAN,out_label_sci,out_label_sci_CLEAN,out_samp_sci,out_samp_sci_CLEAN,out_comp_sci,out_comp_sci_CLEAN,out_es_type_sci,out_es_type_sci_CLEAN,out_test_type_raw_sci,out_test_type_sci_CLEAN,out_tit_fsm,out_tit_fsm_CLEAN,out_desc_fsm,out_desc_fsm_CLEAN,out_type_fsm,out_type_fsm_CLEAN,smd_fsm,smd_fsm_CLEAN,se_fsm,se_fsm_CLEAN,out_measure_fsm,out_measure_fsm_CLEAN,out_g1_n_fsm,out_g1_n_fsm_CLEAN,out_g1_mean_fsm,out_g1_mean_fsm_CLEAN,out_g1_sd_fsm,out_g1_sd_fsm_CLEAN,out_g2_n_fsm,out_g2_n_fsm_CLEAN,out_g2_mean_fsm,out_g2_mean_fsm_CLEAN,out_g2_sd_fsm,out_g2_sd_fsm_CLEAN,ci_lower_fsm,ci_lower_fsm_CLEAN,ci_upper_fsm,ci_upper_fsm_CLEAN,out_label_fsm,out_label_fsm_CLEAN,out_samp_fsm,out_samp_fsm_CLEAN,out_comp_fsm,out_comp_fsm_CLEAN,out_es_type_fsm,out_es_type_fsm_CLEAN,out_test_type_raw_fsm,out_test_type_fsm_CLEAN
40397347,Abadzi (1984),1984,['Setting or streaming'],NA,AVERAGE_ITBS Regular students,,Iowa Test of Basic Skills,,['Toolkit primary outcome'],,-0.4793,,0.0963,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,-0.668,,-0.2906,,Primary outcome,,['Sample: Average'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642366,Adamson (1972),1972,['Setting or streaming'],NA,ALL_Full Sample Math Overall ES (Meta Analysis),,Computation + Arithmetic concepts + Arithmetic Application Subset - Full Sample x3,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.0866,,0.0311,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0257,,0.1475,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ALL_Full Sample Math Overall ES (Meta Analysis),,Computation + Arithmetic concepts + Arithmetic Application Subset - Full Sample x3,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,0.0866,,0.0311,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,0.0257,,0.1475,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642373,Bailey (1968),1968,['Setting or streaming'],NA,ALL_Total Algebra - Track 1 & 2,,Combined Total Algebra Track 1 + Track 2  Homogenous vs Heterogenous  - fixed effect,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.0499,,0.1969,,Mathematics,,-0.049928738,,0,,0,,0.196909644,,0,,0,,-0.4359,,0.336,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ALL_Total Algebra - Track 1 & 2,,Combined Total Algebra Track 1 + Track 2  Homogenous vs Heterogenous  - fixed effect,,"['Toolkit primary outcome', 'Mathematics primary outcome']",,-0.0499,,0.1969,,Mathematics,,-0.049928738,,0,,0,,0.196909644,,0,,0,,-0.4359,,0.336,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642374,Baiow (1963),1963,['Setting or streaming'],NA,ALL_MAT Reading (homogeneous vs heterogeneous),,Metropolitan Achievement Tests - Reading homogeneous vs heterogeneous f-test ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.195,,0.17,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1382,,0.5282,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,ALL_MAT Reading (homogeneous vs heterogeneous),,Metropolitan Achievement Tests - Reading homogeneous vs heterogeneous f-test ,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.195,,0.17,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.1382,,0.5282,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642377,Barton (1964),1964,['Setting or streaming'],NA,ALL_California Reading Achievement (Reading Comprehension),,Posttest means gain score and SD for whole experimental vs Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.223,,0.1405,,Literacy: reading comprehension,,101.0,,6.646,,5.802,,103.0,,5.376,,5.548,,-0.0524,,0.4983,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,ALL_California Reading Achievement (Reading Comprehension),,Posttest means gain score and SD for whole experimental vs Control,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.223,,0.1405,,Literacy: reading comprehension,,101.0,,6.646,,5.802,,103.0,,5.376,,5.548,,-0.0524,,0.4983,,Primary outcome,,['Sample: All'],,With business as usual,,['Pre-post gain'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642378,Bell (1959) 1_1,1959,['Setting or streaming'],NA,ALL_MAT Reading - S&S,,MAT (Metropolitan Achievement Test)  Reading -1st testing – Setting & Streaming,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5583,,0.2635,,Literacy: reading comprehension,,30.0,,7.9,,1.2,,30.0,,8.5,,0.9,,-1.0749,,-0.0418,,Primary outcome,,['Sample: Exceptional'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,ALL_MAT Reading - S&S,,MAT (Metropolitan Achievement Test)  Reading -1st testing – Setting & Streaming,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.5583,,0.2635,,Literacy: reading comprehension,,30.0,,7.9,,1.2,,30.0,,8.5,,0.9,,-1.0749,,-0.0418,,Primary outcome,,['Sample: Exceptional'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ALL_Overall Maths ES - Arith Found + Ar. Prob,,NA,,['Mathematics primary outcome'],,-0.3847,,0.1849,,Mathematics,,-0.3847498,,0,,0,,0.18488307,,0,,0,,-0.7471,,-0.0224,,Secondary outcome(s),,['Sample: Exceptional'],,With business as usual,,['Post-test unadjusted (select one from this group)'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642379,Bent (1969),1969,['Setting or streaming'],NA,HIGH_Gifted_STEP reading-S&S,,STEP (Sequential Tests of Educational Progress= continuous measures of academic achievement)  Reading – Setting & Streaming  program for gifted vs public schools comparison,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1418,,0.2066,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2632,,0.5468,,Primary outcome,,['Sample: Exceptional'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,HIGH_Gifted_STEP reading-S&S,,STEP (Sequential Tests of Educational Progress= continuous measures of academic achievement)  Reading – Setting & Streaming  program for gifted vs public schools comparison,,"['Toolkit primary outcome', 'Reading primary outcome']",,0.1418,,0.2066,,Literacy: reading comprehension,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2632,,0.5468,,Primary outcome,,['Sample: Exceptional'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,HIGH_Gifted_STEP - maths_S&S,,STEP (Sequential Tests of Educational Progress= continuous measures of academic achievement)  Mathematics – Setting & Streaming  program for gifted vs public schools comparison,,['Mathematics primary outcome'],,0.406,,0.2318,,Mathematics,,NA,,NA,,NA,,NA,,NA,,NA,,-0.0482,,0.8602,,Secondary outcome(s),,['Sample: Exceptional'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,HIGH_Gifted_STEP - science,,STEP (Sequential Tests of Educational Progress= continuous measures of academic achievement)  Science – Setting & Streaming  program for gifted vs public schools comparison,,['Science primary outcome'],,0.2167,,0.2301,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,-0.2343,,0.6677,,Secondary outcome(s),,['Sample: Exceptional'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: National test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642380,Berkun (1966),1966,['Setting or streaming'],NA,ALL_Reading Achievement (reversed),,Posttest t-value (no SD's provided) all grades together a the end of 7 month intervention - reversed for effect of setting,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.3201,,0.0619,,Literacy: reading comprehension,,441.0,,-5.2,,0.0,,657.0,,0.0,,0.0,,-0.4415,,-0.1987,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,ALL_Reading Achievement (reversed),,Posttest t-value (no SD's provided) all grades together a the end of 7 month intervention - reversed for effect of setting,,"['Toolkit primary outcome', 'Reading primary outcome']",,-0.3201,,0.0619,,Literacy: reading comprehension,,441.0,,-5.2,,0.0,,657.0,,0.0,,0.0,,-0.4415,,-0.1987,,Primary outcome,,['Sample: All'],,With business as usual,,['Post-test adjusted for baseline attainment'],,['Test type: Standardised test '],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40642381,Bicak (1962) 1_1,1962,['Setting or streaming'],NA,ALL_Overall ES - Science (Meteorology),,"Combined High achieveing heterogeneous v high homogeneous and Low Heterogeneous v Low homogeneous Posttest. The purpose of the application test de- signed for this study was to determine whether there was a significant difference between the experimental and control sec- tions in their ability to utilize and apply meteorological information. The applica- tion test (reliability .So), employed the use of materials with which a pupil might come in daily contact. The material for the items was obtained from such sources as 2x2 color slides of cloud formations, articles with reference to weather found in current newspapers and popular periodicals, and weather forecast maps as illustrated in daily newspapers.",,"['Toolkit primary outcome', 'Science primary outcome']",,-0.0279,,0.1987,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,-0.4173,,0.3615,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,ALL_Overall ES - Science (Meteorology),,"Combined High achieveing heterogeneous v high homogeneous and Low Heterogeneous v Low homogeneous Posttest. The purpose of the application test de- signed for this study was to determine whether there was a significant difference between the experimental and control sec- tions in their ability to utilize and apply meteorological information. The applica- tion test (reliability .So), employed the use of materials with which a pupil might come in daily contact. The material for the items was obtained from such sources as 2x2 color slides of cloud formations, articles with reference to weather found in current newspapers and popular periodicals, and weather forecast maps as illustrated in daily newspapers.",,"['Toolkit primary outcome', 'Science primary outcome']",,-0.0279,,0.1987,,Science,,NA,,NA,,NA,,NA,,NA,,NA,,-0.4173,,0.3615,,Primary outcome,,['Sample: All'],,With active control,,['Post-test adjusted for baseline attainment'],,['Test type: Researcher developed test'],,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
40397376,Breidenstine (1936),1936,['Setting or streaming'],NA,New Stanford Achievement Test (2nd & 3rd Grade combined),,New Stanford Achievement Test (2nd & 3rd Grade combined),,['Toolkit primary outcome'],,-0.3362,,0.1119,,Combined subjects,,NA,,NA,,NA,,NA,,NA,,NA,,-0.5555,,-0.117,,Primary outcome,,NA,,With active control,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
