id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
40397347,Abadzi (1984),1984,['Journal article'],['Setting or streaming'],['Toolkit primary outcome'],-0.4793,0.0963,['Pre-post gain'],AVERAGE_ITBS Regular students,With business as usual,['Sample: Average'],Combined subjects,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667,8,NA,['Primary/elementary school'],"['9', '10']",NA,NA,['USA'],['Regression Discontinuity - not randomised'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,Not stated.,Not stated.,['Toolkit: Setting or streaming']
40642366,Adamson (1972),1972,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0866,0.0311,['Post-test unadjusted (select one from this group)'],ALL_Full Sample Math Overall ES (Meta Analysis),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0866,0.0311,NA,NA,NA,NA,NA,NA,180,2,12,['Middle school'],"['12', '13', '14']",NA,NA,['USA'],['Individual RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Teaching assistants', 'Class teachers']",36,5,Not stated. ,['Toolkit: Setting or streaming']
40642373,Bailey (1968),1968,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0499,0.1969,['Pre-post gain'],ALL_Total Algebra - Track 1 & 2,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.0499,0.1969,NA,NA,NA,NA,NA,NA,420,1,14,['Secondary/High school'],"['13', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,NA,50 ,['Toolkit: Setting or streaming']
40642374,Baiow (1963),1963,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",0.195,0.17,['Post-test adjusted for baseline attainment'],ALL_MAT Reading (homogeneous vs heterogeneous),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.195,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,4,NA,['Primary/elementary school'],"['12', '11']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],32,NA,120,['Toolkit: Setting or streaming']
40642377,Barton (1964),1964,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",0.223,0.1405,['Pre-post gain'],ALL_California Reading Achievement (Reading Comprehension),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.223,0.1405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,1,8,['Middle school'],"['15', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,NA,NA,['Toolkit: Setting or streaming']
40642378,Bell (1959) 1_1,1959,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5583,0.2635,['Post-test unadjusted (select one from this group)'],ALL_MAT Reading - S&S,With business as usual,['Sample: Exceptional'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.5583,0.2635,NA,NA,NA,['Mathematics primary outcome'],-0.3847,0.1849,NA,NA,NA,NA,NA,NA,60 ,NA,NA,"['Primary/elementary school', 'Middle school']","['10', '11', '12']",NA,NA,['USA'],['Retrospective QED  '],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,NA,['Toolkit: Setting or streaming']
40642379,Bent (1969),1969,['Technical report'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1418,0.2066,['Post-test adjusted for baseline attainment'],HIGH_Gifted_STEP reading-S&S,With business as usual,['Sample: Exceptional'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.1418,0.2066,NA,NA,NA,['Mathematics primary outcome'],0.406,0.2318,['Science primary outcome'],0.2167,0.2301,NA,NA,NA,300,NA,NA,['Primary/elementary school'],"['9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],180,NA,30,['Toolkit: Setting or streaming']
40642380,Berkun (1966),1966,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.3201,0.0619,['Post-test adjusted for baseline attainment'],ALL_Reading Achievement (reversed),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.3201,0.0619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098,5,45,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,Not stated. ,['Toolkit: Setting or streaming']
40642381,Bicak (1962) 1_1,1962,"['Dissertation or thesis', 'Conference paper']",['Setting or streaming'],"['Toolkit primary outcome', 'Science primary outcome']",-0.0279,0.1987,['Post-test adjusted for baseline attainment'],ALL_Overall ES - Science (Meteorology),With active control,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",-0.0279,0.1987,NA,NA,NA,75,1,4,['Secondary/High school'],"['13', '14']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],38,not stated,not stated,['Toolkit: Setting or streaming']
40397376,Breidenstine (1936),1936,['Journal article'],['Setting or streaming'],['Toolkit primary outcome'],-0.3362,0.1119,NA,New Stanford Achievement Test (2nd & 3rd Grade combined),With active control,NA,Combined subjects,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2325,11,NA,"['Primary/elementary school', 'Middle school', 'Secondary/High school']","['7', '8', '9', '10', '11', '12', '13', '14', '15']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],38,Not specified,Not specified.,['Toolkit: Setting or streaming']
