id,pub_author,pub_year,abstract,smd_tool,se_tool
37671594,Bennett (2013),2013,"This study evaluated the impact of a computerized visuospatial memory training intervention on the memory and behavioral skills of children with Down syndrome. Teaching assistants were trained to support the delivery of a computerized intervention program to individual children over a 10-16 week period in school. Twenty-one children aged 7-12 years with Down syndrome were randomly allocated to either an intervention or waiting list control group. Following training, performance on trained and non-trained visuospatial short-term memory tasks was significantly enhanced for children in the intervention group. This improvement was sustained four months later. These results suggest that computerized visuospatial memory training in a school setting is both feasible and effective for children with Down syndrome. (PsycINFO Database Record (c) 2016 APA, all rights reserved)  [Correction Notice  An Erratum for this article was reported in Vol 118(5) of American Journal on Intellectual and Developmental Disabilities (see record [rid]2013-41963-001[/rid]). In the original article, the effect sizes and one standard deviation reported in Table 1 were incorrect. The corrected Table 1 is present in the erratum.] ",0.0032,0.4369
38296603,Biggart (2015),2015,"Tutoring with Alphie is a computer-assisted programme that aims to improve the literacy skills of struggling readers. The programme combines elements of collaborative (or ‘cooperative’) learning, computer-assisted instruction and small group support. Participating pupils are grouped in pairs and follow a series of activities that seek to improve reading comprehension and fluency of expression. Pupils are supervised by a tutor, most commonly a teaching assistant. The programme was designed by the charity Success for All and was adapted from a programme which was available in the United States for younger struggling readers (6–7 years). This project sought to assess the impact of the programme on Year 6 pupils who were at risk of not achieving Level 4a and above in reading at the end of Key Stage 2. 72 pupils from six schools across England completed the trial. Pupils followed the programme on a daily basis for 30 minutes each day over a period of six weeks. Typically four to eight pupils, split into pairs with similar levels of prior attainment, would participate at the same time. The study was funded by the Education Endowment Foundation as one of 24 projects in a themed round on literacy catch-up at the pr10.13140/RG.2.1.5064.4729imary–secondary transition.",0.1641,0.2362
37671632,Blatchford (2007),2007,"It is widely assumed that increasing the number of teaching assistants (TAs) in the classroom will be beneficial to children, and this is one important aim of the recently implemented Workforce Agreement. But there are still significant gaps in knowledge about many aspects of their deployment and impact. The Class Size and Pupil—Adult Ratios (CSPAR) KS2 study built on earlier findings when the pupils were in reception and Key Stage (KS) 1, and investigated  (1) the deployment of TAs in classrooms and how key parties involved perceived this  and (2) the effect of TAs on interactions involving pupils and teachers in the same classrooms, and on pupil attainments. The study had a longitudinal, mixed method and multi‐informant design. Methods of data collection included  (for the whole sample) questionnaires completed by TAs, teachers and head teachers, assessments of pupil attainments in mathematics, English and science, data on pupil background, and (for a sub‐sample) case studies and a systematic observation study. This study found that the TA's role in KS2 is predominantly a direct one, in the sense of face‐to‐face interactions supporting certain pupils. There was no evidence that the presence of TAs, or any characteristic of TAs, had a measurable effect on pupil attainment. However, results were clear in showing that TAs had an indirect effect on teaching, e.g. pupils had a more active form of interaction with the teacher and there was more individualised teacher attention. This supported teachers' views that TAs are effective in supporting them in this way. The authors conclude that more attention needs to be paid to what they call the pedagogical role of TAs so that they can be used effectively to help teachers and pupils, particularly in the context of the enhanced roles for TAs being introduced as part of the Government's remodelling agenda. It is widely assumed that increasing the number of teaching assistants (TAs) in the classroom will be beneficial to children, and this is one important aim of the recently implemented Workforce Agreement. But there are still significant gaps in knowledge about many aspects of their deployment and impact. The Class Size and Pupil—Adult Ratios (CSPAR) KS2 study built on earlier findings when the pupils were in reception and Key Stage (KS) 1, and investigated  (1) the deployment of TAs in classrooms and how key parties involved perceived this  and (2) the effect of TAs on interactions involving pupils and teachers in the same classrooms, and on pupil attainments. The study had a longitudinal, mixed method and multi‐informant design. Methods of data collection included  (for the whole sample) questionnaires completed by TAs, teachers and head teachers, assessments of pupil attainments in mathematics, English and science, data on pupil background, and (for a sub‐sample) case studies and a systematic observation study. This study found that the TA's role in KS2 is predominantly a direct one, in the sense of face‐to‐face interactions supporting certain pupils. There was no evidence that the presence of TAs, or any characteristic of TAs, had a measurable effect on pupil attainment. However, results were clear in showing that TAs had an indirect effect on teaching, e.g. pupils had a more active form of interaction with the teacher and there was more individualised teacher attention. This supported teachers' views that TAs are effective in supporting them in this way. The authors conclude that more attention needs to be paid to what they call the pedagogical role of TAs so that they can be used effectively to help teachers and pupils, particularly in the context of the enhanced roles for TAs being introduced as part of the Government's remodelling agenda.",0.0001,0.125
37671541,Brown (2005),2005,"The present study replicated the original evaluation of the Howard Street tutoring model (Morris, Shaw, & Perney, Perney, 1990), an intervention for struggling readers in second and third grade. It also evaluated the effectiveness of supervised paraprofessionals (Title I aides) in delivering that tutorial. For an entire school year, teachers or paraprofessionals, working under the supervision of a reading specialist, tutored 40 struggling readers twice per week for 45 minutes per session. The tutored group's instruction included guided reading in leveled texts with controlled vocabulary, word study, and reading for fluency. The control group's instruction, which was provided daily in a small-group context, featured guided reading and phonics work in the classroom basal reader. Analysis of covariance was used to compare the performance of the two groups on several end-of-year reading measures. Results showed that, overall, the tutored group outperformed the control group on each of the posttest reading measures (standardized and informal). In addition, the subset of students tutored by paraprofessionals outperformed the control students. In fact, results indicated that in the structured tutoring context, paraprofessional tutors were almost as effective as certified teachers. The present study replicated the original evaluation of the Howard Street tutoring model (Morris, Shaw, & Perney, Perney, 1990), an intervention for struggling readers in second and third grade. It also evaluated the effectiveness of supervised paraprofessionals (Title I aides) in delivering that tutorial. For an entire school year, teachers or paraprofessionals, working under the supervision of a reading specialist, tutored 40 struggling readers twice per week for 45 minutes per session. The tutored group's instruction included guided reading in leveled texts with controlled vocabulary, word study, and reading for fluency. The control group's instruction, which was provided daily in a small-group context, featured guided reading and phonics work in the classroom basal reader. Analysis of covariance was used to compare the performance of the two groups on several end-of-year reading measures. Results showed that, overall, the tutored group outperformed the control group on each of the posttest reading measures (standardized and informal). In addition, the subset of students tutored by paraprofessionals outperformed the control students. In fact, results indicated that in the structured tutoring context, paraprofessional tutors were almost as effective as certified teachers.",1.0488,0.2378
37671596,Bunn (2008),2008,"This study compared the progress in reading and spelling of 256 children in 11 classes in 9 English primary schools in Years 3 and 4, and a partially overlapping sample of 126 children who received additional help with literacy during 1 year. Teachers and teaching assistants used either Additional Literacy Support (ALS), a highly structured set of small group teaching materials devised by the English National Literacy Strategy, or a wide variety of other materials including other published intervention programmes, reading scheme-based, computer-based and individually designed interventions, or a combination of ALS and other interventions. The influence of a broad range of contextual factors were investigated, especially whether children's qualities, school factors such as socioeconomic status and class size, and delivery differences made significant differences to the outcomes of the different interventions. The study used a naturalistic quasi-experimental design, in which teachers were asked to record details of their children and interventions without altering their professional decisions, which has not been used before in investigating literacy difficulties in context. ALS was marginally more effective than other interventions in the majority of classes, but was clearly superior in value for money terms. Children's qualities did not appear to affect outcomes. Although children receiving additional help made better than average progress, overall catch-up was limited, especially in spelling. ",0.6246,0.238
37671542,Burgoyne (2012),2012,"Background  This study evaluates the effects of a language and literacy intervention for children with Down syndrome. Methods  Teaching assistants (TAs) were trained to deliver a reading and language intervention to children in individual daily 40-min sessions. We used a waiting list control design, in which half the sample received the intervention immediately, whereas the remaining children received the treatment after a 20-week delay. Fifty-seven children with Down syndrome in mainstream primary schools in two UK locations (Yorkshire and Hampshire) were randomly allocated to intervention (40 weeks of intervention) and waiting control (20 weeks of intervention) groups. Assessments were conducted at three time points  pre-intervention, after 20 weeks of intervention, and after 40 weeks of intervention. Results  After 20 weeks of intervention, the intervention group showed significantly greater progress than the waiting control group on measures of single word reading, letter-sound knowledge, phoneme blending and taught expressive vocabulary. Effects did not transfer to other skills (nonword reading, spelling, standardised expressive and receptive vocabulary, expressive information and grammar). After 40 weeks of intervention, the intervention group remained numerically ahead of the control group on most key outcome measures  but these differences were not significant. Children who were younger, attended more intervention sessions, and had better initial receptive language skills made greater progress during the course of the intervention. Conclusions  A TA-delivered intervention produced improvements in the reading and language skills of children with Down syndrome. Gains were largest in skills directly taught with little evidence of generalization to skills not directly taught in the intervention. (Contains 5 tables and 3 figures.) Background  This study evaluates the effects of a language and literacy intervention for children with Down syndrome. Methods  Teaching assistants (TAs) were trained to deliver a reading and language intervention to children in individual daily 40-min sessions. We used a waiting list control design, in which half the sample received the intervention immediately, whereas the remaining children received the treatment after a 20-week delay. Fifty-seven children with Down syndrome in mainstream primary schools in two UK locations (Yorkshire and Hampshire) were randomly allocated to intervention (40 weeks of intervention) and waiting control (20 weeks of intervention) groups. Assessments were conducted at three time points  pre-intervention, after 20 weeks of intervention, and after 40 weeks of intervention. Results  After 20 weeks of intervention, the intervention group showed significantly greater progress than the waiting control group on measures of single word reading, letter-sound knowledge, phoneme blending and taught expressive vocabulary. Effects did not transfer to other skills (nonword reading, spelling, standardised expressive and receptive vocabulary, expressive information and grammar). After 40 weeks of intervention, the intervention group remained numerically ahead of the control group on most key outcome measures  but these differences were not significant. Children who were younger, attended more intervention sessions, and had better initial receptive language skills made greater progress during the course of the intervention. Conclusions  A TA-delivered intervention produced improvements in the reading and language skills of children with Down syndrome. Gains were largest in skills directly taught with little evidence of generalization to skills not directly taught in the intervention. (Contains 5 tables and 3 figures.)",0.0969,0.2725
37671546,Clarke (2017),2017,"This study evaluated two 20-week reading interventions for pupils entering secondary school with reading difficulties. The interventions were delivered by trained teaching assistants (three 35-min sessions per week). 287 pupils (ages 11-13) from 27 schools were randomly allocated to three groups  reading intervention (targeting word recognition and decoding skills), reading intervention plus comprehension, or a waiting list control group. Neither intervention produced statistically significant gains in word reading but the reading intervention plus comprehension intervention produced significant gains in reading comprehension (d = 0.29) and vocabulary (d = 0.34). Further evaluations of methods to improve word reading in this population are needed. ",0.4545,0.172
37671598,Cole (2009),2009,"Billions of dollars are spent annually in response to widespread underachievement in areas of math and reading (National Assessment of Education Progress, 2003). Efficacy of these remedial academic programs is often poorly documented and few programs are designed to address individual needs (Kahne, Nagaoka, Brown, O'Brien, Quinn, & Thiede, 2001  Granger, Durlak, Yohalem, & Reisner, 2007). Furthermore, many students do not benefit from these programs due to behavior deficits that impact learning (Granger et al., 2007). The Challenging Horizons Program (CHP) is an evidence-based after-school program that provides an effective framework for engaging students with behavior deficits in learning activities (Langberg, Smith, Bogle, Schmidt, Cole, & Pender, 2006). At the start of this dissertation, the CHP did not have a curriculum targeting students' math performance. This dissertation describes the development of a remedial math intervention delivered within the Challenging Horizons Program designed to be delivered by paraprofessionals with limited training in teaching. To evaluate the curriculum, participants were randomly assigned to either receive the CHP as usual (N = 13) or the CHP plus math intervention 4 days a week (N=13). Outcomes were measured using brief timed assessments of basic math calculation and word problem solving, which showed generally positive effect sizes but low rates of reliable change on a case-by-case basis. No differences in skipping items between the control and treatment groups were observed on the basic calculation weekly assessment measure. Overall, this pilot study suggests that this math intervention can feasibly be delivered by paraprofessionals but some procedural and methodological limitations cloud the interpretation of the results with regard to the efficacy of the math intervention. ",1.4227,0.4469
37671620,Cooper (2016) TA,2016,"This study presents an exploratory evaluation of a seven week cross-age peer-tutoring mathematics intervention, Paired Maths (based on Topping, Kearney, McGee and Pugh, 2004), as delivered in a UK secondary school. The impact of Paired Maths on the mathematics attainment of tutees, and the self-esteem of both tutees and tutors is evaluated. Paired Maths involves pairs of students, one student in the role of a tutor and one in the role of a tutee, completing mathematics activities together. Tutors are trained to follow a structured process to scaffold their tutee's learning during the activities. Although existing theory and literature suggests that a cross-age, peer-tutoring intervention around mathematics could have a positive impact, no research has experimentally evaluated Paired Maths in the UK secondary school to date. A total of 78 participants, aged 12-15 years, from three secondary schools situated in a small city in England took part. A Randomised Control Trial was used to consider the impact for Year 8 participants in the role of the Tutee. This compared children randomly assigned to either a Paired Maths (Experimental) Group, a Teaching Assistant Led Comparison Group or a Waitlist Control Group. Results showed no statistically significant differences between groups in mathematics attainment or self-esteem. Within the same exploratory evaluation, a Randomised Control Trial was also employed to consider the impact for the Year 10 students in the role of the tutor. This compared children randomly assigned to either the Paired Maths (Experimental) group or a Waitlist Control Group. Although Waitlist Control participants saw a statistically significant decrease on measures of Maths self-concept over time, results showed no other statistically significant differences between groups in self-esteem. Overall, Paired Maths was not considered to have had a positive impact on mathematics attainment for children in the role of the tutee, or on the self-esteem of children either in the role of tutee or tutor. These findings are considered in relation to the literature and methodology adopted, with a number of possible explanations presented. Possible avenues for future research are proposed (within and also beyond the post-positivist paradigm) with the key conclusion that further exploration is needed around what may support the successful implementation of a Paired Maths programme with secondary aged Pupils. Key limitations of the research relate to the measurement of the dependent variables and treatment fidelity. ",0.0241,0.3594
37671548,Dockrell (2015),2015,"""Talk for Writing"" is an approach to teaching writing that emphasizes three teaching methods  (1) 'imitation' (where pupils learn texts by heart, so they can discuss and dissect them)  (2) 'innovation' (where pupils adapt stories to create their own versions)  and (3) 'invention' (where teachers help pupils to create original stories). These tasks aim to improve writing ability by giving pupils an understanding of the structure and elements of written language. This project sought to develop ""Talk for Writing"" into a whole-school programme. The pilot programme ran for 18 months, from January 2013 to July 2014, and involved ten schools in Portsmouth. It included a series of 6 full days for school leadership teams (project teams) plus three whole school conferences (""Big Days"") to train teachers and teaching assistants. It covered all primary age groups from nursery to year 6. In addition to the training and support for schools, the programme provided materials, resources, and guidance for staff development, planning and progression. Each school appointed a ""literacy lead"", who was responsible for implementing the programme. This developmental pilot was subject to an evaluation, which had three aims  (1) to appraise the research literature underpinning key dimensions of the ""Talk for Writing"" pedagogy  (2) to evaluate the promise and feasibility of the programme, and provide formative recommendations to inform future evaluation and development  and (3) to provide an initial quantitative assessment of the potential impact of the programme on writing skills that could be used to inform any future trial. The evaluation took place over twelve months and involved six of the 10 intervention schools, one of which withdrew halfway through the programme following the appointment of a new headteacher, and three comparison schools. There were two comparison schools in Portsmouth and one in London. Key conclusions of the project were  (1) most of the teachers were enthusiastic about implementing Talk for Writing within a whole school approach and felt that it provided a consistent approach to teaching writing. However, one school was withdrawn from the project by a new headteacher  (2) features of the programme were embedded in the classrooms, and teachers generally found the programme straightforward to implement  (3) the project displayed mixed evidence of promise. Teachers reported that it had an impact on pupils' writing skills. However, the literature review found mixed support from the current research base for the principles underlying the programme  (4) further research is required to securely estimate the impact of the approach on academic attainment. It would be valuable to undertake some additional development work to refine the approach before it undergoes a full trial  and (5) other research suggests that oral language may play a stronger role in supporting writing in the early years than in Key Stage 2. The programme might benefit from targeted support of key oral language competencies to support the production of early written text in struggling writers and those with weaker oral language skills. ",0.26,0.08
