id,pub_author,pub_year,strand_raw,strand_info,strand_CLEAN,sample_analysed_info,sample_analysed_ht,sample_analysed_CLEAN,part_gen_raw,part_gen_ht,part_gen_info,part_gen_CLEAN,fsm_perc_info,fsm_perc_ht,fsm_perc_CLEAN,fsm_info_info,fsm_info_ht,fsm_info_CLEAN,fsm_na_raw,fsm_na_info,fsm_na_CLEAN,base_n_treat_ht,base_n_treat_info,base_n_treat_CLEAN,base_n_cont_ht,base_n_cont_info,base_n_cont_CLEAN,base_n_treat2_ht,base_n_treat2_info,base_n_treat2_CLEAN,base_n_treat3_ht,base_n_treat3_info,base_n_treat3_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,n_cont_ht,n_cont_info,n_cont_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,attri_raw,attri_ht,attri_info,attri_CLEAN,attri_treat_ht,attri_treat_info,attri_treat_CLEAN,attri_perc_ht,attri_perc_info,attri_perc_CLEAN
37671594,Bennett (2013),2013,['Teaching assistants'],NA,,21,"['Page 3:\n[¬s]""Twenty-five children with Down syndrome were recruited. ""\n""Data was therefore analyzed for 21 children,[¬e]""']",,['Mixed gender'],"['Page 3:\n[¬s]""Data was therefore analyzed for 21 children,[¬e]""', 'Page 4:\n[¬s]""There were six males in the intervention group and five males in the waiting list control group.[¬e]""']",48,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 3:\n[¬s]""The remaining 24 children were randomly allocated to one of two groups: intervention or waiting list control.[¬e]""']",12,,"['Page 3:\n[¬s]"" The remaining 24 children were randomly allocated to one of two groups: intervention or waiting list control.[¬e]""']",12,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""1 0[¬e]""']",10,,"['Page 7:\n[¬s]""1 1[¬e]""']",11,,NA,NA,,NA,NA,,['Yes'],"['Page 3:\n[¬s]"" The remaining 24 children were randomly allocated to one of two groups: intervention or waiting list control. One child did not complete the training program due to staff illness, one child did not complete the program due to preexisting behavioral difficulties (non- compliance with school tasks in general), and one school had technical difficulties that prevented them from delivering the program. Data was therefore analyzed for 21 children, and Figure 1 displays additional information about the recruit- ment process and timeframe for delivery of the intervention and assessments.[¬e]""']",NA,,NA,16.666,,NA,12.5%,
38296603,Biggart (2015),2015,"['Digital technology', 'Teaching assistants']",NA,,72,"['Page 5:\n[¬s]""72 pupil[¬e]""']",,['Mixed gender'],"['Page 17:\n[¬s]"" 19 (54%) 22 (60%)""\n"" 16 (46%) 15 (41%)[¬e]""']",43,,51.5%,"['Page 17:\n[¬s]"" 17 (49%) 20 (54%)""\n"" 18 (51%) 17 (46%)[¬e]""']",,NA,"['Page 10:\n[¬s]"" Schools were targeted on the basis of both a higher than average proportion of pupils receiving free school meals[¬e]""']",,NA,NA,,"['Page 12:\n[¬s]"" 125 pupils being allocated to Tutoring with Alphie[¬e]""']",125,,"['Page 12:\n[¬s]""123 to the business as usual control[¬e]""']",123,,NA,NA,,NA,NA,,"['Page 19:\n[¬s]""37[¬e]""']",37,,"['Page 19:\n[¬s]""35[¬e]""']",35,,NA,NA,,NA,NA,,['Yes'],"['Page 15:\n[¬s]""4 pupils were excluded on the basis of their assessed reading levels, which were below the intended use of the programme (below level 1a)""\n"" Fifteen of the 21 participating schools failed to provide pupil data for the New Group Reading Test, the main outcome measure of reading comprehension. This represented a dropout rate of 72% of those recruited to the original trial.[¬e]""', 'Page 16:\n[¬s]""Lost to follow-up (n=88)""\n""Lost to follow-up (n=90)[¬e]""', 'Page 30:\n[¬s]""There was substantial attrition of more than 70%.[¬e]""']",NA,,"['Page 15:\n[¬s]""125""\n""37[¬e]""']",70.4,,"['Page 15:\n[¬s]""125""\n"" 123""\n""37 and 35 [¬e]""']",70.967%,
37671632,Blatchford (2007),2007,['Teaching assistants'],NA,,5755,"['Page 5:\n[¬s]""Year 6""\n""5755[¬e]""']",,['No information provided'],NA,NA,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 5:\n[¬s]""Number of pupils""\n""5755[¬e]""']",2878,,"['Page 5:\n[¬s]""5755""\n""Number of pupils[¬e]""']",2877,,NA,NA,,NA,NA,,NA,2878,,NA,2877,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37671541,Brown (2005),2005,['Teaching assistants'],NA,,81,"['Page 10:\n[¬s]""Once the treatment-group students had been selected (N = 43), each was N = 43), each was N matched to a child from a large pool of comparison students to whom the same pretests had been administered.[¬e]""', 'Page 21:\n[¬s]""Table 2. Pretest-Posttest Performance of Treatment Group and Comparison Group""\n""Treatment 40""\n""Compare 41[¬e]""']",,['No information provided'],NA,NA,,46%,"['Page 10:\n[¬s]""Specifically, in treatment schools,""\n""48% qualified for\nfree or reduced lunch.""\n""In control schools,""\n""44% qualified for free or reduced lunch.[¬e]""']",,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""Once the treatment-group students had been selected (N = 43), each was N = 43), each was N matched to a child from a large pool of comparison students to whom the same pretests had been administered.[¬e]""']",43,,NA,43,,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""40[¬e]""']",40,,"['Page 21:\n[¬s]""41[¬e]""']",41,,NA,NA,,NA,NA,,['Yes'],NA,NA,,"['Page 10:\n[¬s]""(N = 43)[¬e]""', 'Page 21:\n[¬s]""Treatment 40[¬e]""']",6.976,,"['Page 10:\n[¬s]""(N = 43), each was\nmatched[¬e]""', 'Page 21:\n[¬s]""Treatment 40""\n""Compare 41[¬e]""']",5.813%,
37671596,Bunn (2008),2008,['Teaching assistants'],NA,,77,"['Page 7:\n[¬s]""31""\n""46[¬e]""']",,['No information provided'],NA,"Gender given for part of sample (overlapping 126 children, not entire sample of 256 + 126 partially overlapping children)",,NA,NA,,NA,"['Page 3:\n[¬s]""close to average in socio-economic and achievement rankings[¬e]""']",,NA,NA,,"['Page 7:\n[¬s]""31[¬e]""']",31,,"['Page 7:\n[¬s]""46[¬e]""']",46,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""31[¬e]""']",31,,"['Page 7:\n[¬s]""46[¬e]""']",46,,NA,NA,,NA,NA,,['Yes'],"['Page 6:\n[¬s]""31""\n""44[¬e]""', 'Page 7:\n[¬s]""31""\n""46[¬e]""']",NA,,NA,0,,NA,2.597%,
37671542,Burgoyne (2012),2012,['Teaching assistants'],NA,,54,"['Page 2:\n[¬s]""Analysed ( n = 28)""\n""Analysed ( n = 26)""\n""N = 57 children randomly allocated to\none arm of the intervention[¬e]""']",,['Mixed gender'],"['Page 2:\n[¬s]""57 children (28 boys)[¬e]""']",50.8,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 2:\n[¬s]""Group 1 (intervention group)""\n""(n = 29;[¬e]""']",29,,"['Page 2:\n[¬s]""Group 2 (waiting control group)""\n""n = 28;[¬e]""']",28,,NA,NA,,NA,NA,,"['Page 2:\n[¬s]""Analysed (n = 28)""\n""Group 1 (intervention group)[¬e]""']",28,,"['Page 2:\n[¬s]""Analysed (n = 26)""\n""Group 2 (waiting control group)[¬e]""']",26,,NA,NA,,NA,NA,,['Yes'],"['Page 2:\n[¬s]""Did not receive intervention; lost to follow up (moved school) (n = 1) Discontinued intervention (moved school); followed up (n = 2)""\n""Did not receive allocated intervention; lost to follow up (n = 1 moved schools; n = 1 refused to participate in testing, school withdrawn) Discontinued intervention (moved school); followed up (n = 2)[¬e]""']",NA,,NA,3.448,,NA,5.263%,
37671546,Clarke (2017),2017,"['Teaching assistants', 'Phonics', 'One to one tuition']",NA,,139,"['Page 12:\n[¬s]""72""\n""67[¬e]""']",,['Mixed gender'],"['Page 11:\n[¬s]""Gender (male: female)""\n""101:85[¬e]""']",45.6,,30 ,"['Page 5:\n[¬s]""Of pupils who\nprovided consent for their data to be accessed, approximately 30% were eligible for free school meals[¬e]""']",,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""Allocated to RI + C n = 39 Allocated to RI n = 39[¬e]""', 'Page 7:\n[¬s]""Allocated to RI + C n = 58 Allocated to RI n = 58[¬e]""']",97,,"['Page 6:\n[¬s]""Allocated to Control n = 39[¬e]""', 'Page 7:\n[¬s]""Allocated to Control n = 54[¬e]""']",93,,NA,NA,,NA,NA,,"['Page 12:\n[¬s]""72[¬e]""']",72,,"['Page 12:\n[¬s]""67[¬e]""']",67,,NA,NA,,NA,NA,,['Yes'],"['Page 11:\n[¬s]""Missingness test confirmed that data missing from the language and reading posttest measures did not vary as function of group, χ 2 (51) = 23.07, p = .999. In short, though rates of attrition were substantial in this study, attrition appears to have been random and there is no evidence to suggest that it has introduced significant bias.[¬e]""', 'Page 12:\n[¬s]""RI + C""\n""Control""\n""80""\n""77""\n""72""\n""67[¬e]""', 'Page 6:\n[¬s]""Pupils dropped out n = 2""\n""Pupils dropped out n = 1""\n""3 schools dropped out n = 6""\n""3 schools dropped out n = 3""\n""Pupils dropped out n = 1 Pupils with no test data n = 2[¬e]""', 'Page 7:\n[¬s]""Pupils dropped out n = 1""\n""2 schools dropped out n = 10""\n""2 schools dropped out n = 11""\n""2 schools dropped out n = 9[¬e]""']","Intervention  97 recruited (flowchart of RI + C with control), 80 take NGRT pretest, 72 take posttest,  Control  93 recruited (flowchart of RI + C with control), 77 take NGRT pretest, 67 take posttest. ",,"['Page 12:\n[¬s]""80""\n""72[¬e]""']",10,,"['Page 12:\n[¬s]""80""\n""72""\n""77""\n""67[¬e]""']",11.464,
37671598,Cole (2009),2009,['Teaching assistants'],NA,,26,"['Page 35:\n[¬s]""26 participants[¬e]""', 'Page 36:\n[¬s]"" the treatment group (n= 13) and the other to the control group (n = 13)[¬e]""']",,['Mixed gender'],"['Page 112:\n[¬s]""treatment (n=13) control (n=13)""\n""Male 8(61.5%) 10(77%)[¬e]""']",31,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 36:\n[¬s]"" the treatment group (n= 13)[¬e]""']",13,,"['Page 36:\n[¬s]""the control group (n = 13) [¬e]""']",13,,NA,NA,,NA,NA,,"['Page 36:\n[¬s]""treatment\ngroup (n= 13)[¬e]""']",13,,"['Page 36:\n[¬s]""control group (n = 13)[¬e]""']",13,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37671620,Cooper (2016) TA,2016,['Teaching assistants'],NA,,31,"['Page 112:\n[¬s]""Comparison (n=15)""\n""Waitlist Control (n=16)[¬e]""']",,['Mixed gender'],"['Page 83:\n[¬s]""A total of 47 year 8 pupils participated and were included the final analysis. 15 from\nSchool A, 16 from School B and 16 from School C. 22 participants were male and 25\nparticipants were female.[¬e]""']",53,,NA,NA,,NA,NA,,['No SES/FSM Information Provided'],NA,,"['Page 83:\n[¬s]""15[¬e]""']",15,,"['Page 83:\n[¬s]""16[¬e]""']",16,,NA,NA,,NA,NA,,"['Page 112:\n[¬s]""Comparison (n=15)[¬e]""']",15,,"['Page 112:\n[¬s]""Waitlist Control (n=16)[¬e]""']",16,,NA,NA,,NA,NA,,['No'],NA,NA,,NA,NA,,NA,NA,
37671548,Dockrell (2015),2015,['Teaching assistants'],NA,,592,"['Page 34:\n[¬s]""Table 4: Pupil data for three project phases""\n""Total""\n""January 14""\n""347""\n""245""\n""592[¬e]""']",,['No information provided'],NA,NA,,17.5%,NA,,NA,"['Page 24:\n[¬s]""There were no significant differences between intervention and comparison schools in the proportion of students in receipt of free school meals or who were designated to be at school action or school action plus.[¬e]""']",,NA,NA,,"['Page 34:\n[¬s]""Table 4: Pupil data for three project phases""\n""633[¬e]""']",633,,"['Page 34:\n[¬s]""571[¬e]""']",571,,NA,NA,,NA,NA,,"['Page 34:\n[¬s]""347[¬e]""']",347,,"['Page 34:\n[¬s]""245[¬e]""']",245,,NA,NA,,NA,NA,,['Yes'],"['Page 34:\n[¬s]""Table 4: Pupil data for three project phases[¬e]""']",NA,,"['Page 34:\n[¬s]""Intervention""\n""633""\n""347[¬e]""']",45%,,"['Page 34:\n[¬s]""Table 4: Pupil data for three project phases[¬e]""']",51%,
