id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht_t_sd_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
37671594,Bennett (2013),2013,['Teaching assistants'],NA,NA,['Yes'],NA,NA,,"['Page 7:\n[¬s]""1 0[¬e]""']",10,,"['Page 8:\n[¬s]""1 3 . 1 0[¬e]""']",13.1,,"['Page 8:\n[¬s]""2 . 3 3[¬e]""']",2.33,,"['Page 8:\n[¬s]""1 3 . 4 0[¬e]""']",13.4,,"['Page 8:\n[¬s]""3 . 4 8[¬e]""']",3.48,,NA,NA,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""1 1[¬e]""']",11,,"['Page 8:\n[¬s]""1 3 . 0 9[¬e]""']",13.09,,"['Page 8:\n[¬s]""3 . 4 8[¬e]""']",3.48,,"['Page 8:\n[¬s]""1 2 . 9 1[¬e]""']",12.91,,"['Page 8:\n[¬s]""4 . 1 6[¬e]""']",4.16,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
38296603,Biggart (2015),2015,"['Digital technology', 'Teaching assistants']",NA,NA,['Yes'],NA,Post-test results from Table 3.9,,"['Page 19:\n[¬s]""37[¬e]""']",37,,NA,NA,,NA,NA,,"['Page 19:\n[¬s]""0.21[¬e]""']",0.21,,"['Page 19:\n[¬s]""0.05[¬e]""']",0.05,,NA,NA,,NA,NA,,NA,NA,,"['Page 19:\n[¬s]""35[¬e]""']",35,,NA,NA,,NA,NA,,"['Page 19:\n[¬s]""0.10[¬e]""']",0.1,,"['Page 19:\n[¬s]""0.95[¬e]""']",0.95,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671632,Blatchford (2007),2007,['Teaching assistants'],NA,NA,['No'],NA,NA,,NA,2878,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,2877,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671541,Brown (2005),2005,['Teaching assistants'],NA,NA,['Yes'],"['Page 21:\n[¬s]""Table 2. Pretest-Posttest Performance of Treatment Group and Comparison Group[¬e]""']",Data on Passage Reading scores from Table 2 (including post-test adjusted means),,"['Page 21:\n[¬s]""40[¬e]""']",40,,"['Page 21:\n[¬s]""19.2[¬e]""']",19.2,,"['Page 21:\n[¬s]""(5.3)[¬e]""']",5.3,,"['Page 21:\n[¬s]""29.1[¬e]""']",29.1,,"['Page 21:\n[¬s]""(4.3)[¬e]""']",4.3,,NA,NA,,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""41[¬e]""']",41,,"['Page 21:\n[¬s]""18.2[¬e]""']",18.2,,"['Page 21:\n[¬s]""(4.8)[¬e]""']",4.8,,"['Page 21:\n[¬s]""24.6[¬e]""']",24.6,,"['Page 21:\n[¬s]""(4.2)[¬e]""']",4.2,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671596,Bunn (2008),2008,['Teaching assistants'],NA,NA,['Yes'],NA,"Posttest means & SD - Data from Tables 4 and 5. Mean gains from Table 5 were added to Table 4, using the SDs from Table 5.",,"['Page 7:\n[¬s]""31[¬e]""']",31,,"['Page 7:\n[¬s]""86.13[¬e]""']",86.13,,"['Page 7:\n[¬s]""9.598[¬e]""']",9.598,,"['Page 6:\n[¬s]""13.01[¬e]""', 'Page 7:\n[¬s]""86.13[¬e]""']",99.14,,"['Page 7:\n[¬s]""9.598[¬e]""']",9.598,,"['Page 6:\n[¬s]""13.01[¬e]""']",13.01,,NA,NA,,NA,NA,,"['Page 7:\n[¬s]""46[¬e]""']",46,,"['Page 7:\n[¬s]""75.67[¬e]""']",75.67,,"['Page 7:\n[¬s]""13.502[¬e]""']",13.502,,"['Page 6:\n[¬s]""15.84[¬e]""', 'Page 7:\n[¬s]""75.67[¬e]""']",91.51,,"['Page 6:\n[¬s]""15.84[¬e]""']",15.84,,"['Page 6:\n[¬s]""15.84[¬e]""']",15.84,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671542,Burgoyne (2012),2012,['Teaching assistants'],NA,NA,['Yes'],NA,Results from Table 1 using t1 - pre intervention and t3 - post intervention for Single-Word Reading measure. ,,"['Page 2:\n[¬s]""Analysed (n = 28)""\n""Group 1 (intervention group)[¬e]""']",28,,"['Page 5:\n[¬s]""5.86[¬e]""']",5.86,,"['Page 5:\n[¬s]""10.41[¬e]""']",10.41,,"['Page 5:\n[¬s]""14.86[¬e]""']",14.86,,"['Page 5:\n[¬s]""14.02[¬e]""']",14.02,,NA,NA,,NA,NA,,NA,NA,,"['Page 2:\n[¬s]""Analysed (n = 26)""\n""Group 2 (waiting control group)[¬e]""']",26,,"['Page 5:\n[¬s]""6.88[¬e]""']",6.88,,"['Page 5:\n[¬s]""12.43[¬e]""']",12.43,,"['Page 5:\n[¬s]""8.92[¬e]""']",13.36,,"['Page 5:\n[¬s]""13.59[¬e]""']",16.48,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671546,Clarke (2017),2017,"['Teaching assistants', 'Phonics', 'One to one tuition']",NA,NA,['Yes'],"['Page 12:\n[¬s]""b Reading Ability Score. c Standard Score.[¬e]""', 'Page 12:\n[¬s]""NGRT b[¬e]""', 'Page 12:\n[¬s]""Table 2. Mean raw scores (and standard deviations) for the outcome measures for all groups at each time point, cohorts combined.""\n""b Reading Ability Score. c Standard Score.""\n""NGRT b""\n""WIAT IIReading Comprehension c""\n""Table 2. Mean raw scores (and standard deviations) for the outcome measures for all groups at each time point, cohorts combined.""\n""b Reading Ability Score. c Standard Score.""\n""NGRT b""\n""WIAT IIReading Comprehension c""\n""Table 2. Mean raw scores (and standard deviations) for the outcome measures for all groups at each time point, cohorts combined.[¬e]""', 'Page 12:\n[¬s]""Table 2. Mean raw scores (and standard deviations) for the outcome measures for all groups at each time point, cohorts combined.[¬e]""', 'Page 12:\n[¬s]""WIAT IIReading Comprehension c[¬e]""']","Descriptive Statistics of RI + C as intervention group using data from Table 2. Out of the two most linked outcomes to comprehension (NGRT and WIAT II Reading Comprehension), WIAT II indicates that it gives a standard score, whereas NGRT has been reported as a reading ability score. NGRT reported to match Toolkit primary outcome.",,"['Page 12:\n[¬s]""72[¬e]""']",72,,"['Page 12:\n[¬s]""239.25[¬e]""']",239.25,,"['Page 12:\n[¬s]""58.905)[¬e]""']",58.905,,"['Page 12:\n[¬s]""269.82[¬e]""']",269.82,,"['Page 12:\n[¬s]""(42.456)[¬e]""']",42.456,,NA,NA,,NA,NA,,NA,NA,,"['Page 12:\n[¬s]""67[¬e]""']",67,,"['Page 12:\n[¬s]""230.75[¬e]""']",230.75,,"['Page 12:\n[¬s]""(66.463[¬e]""']",66.463,,"['Page 12:\n[¬s]""246.99[¬e]""']",246.99,,"['Page 12:\n[¬s]""56.925[¬e]""']",56.925,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37671598,Cole (2009),2009,['Teaching assistants'],NA,NA,['Yes'],NA,NA,,"['Page 36:\n[¬s]""treatment\ngroup (n= 13)[¬e]""']",13,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 36:\n[¬s]""control group (n = 13)[¬e]""']",13,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671620,Cooper (2016) TA,2016,['Teaching assistants'],NA,NA,['Yes'],NA,NA,,"['Page 112:\n[¬s]""Comparison (n=15)[¬e]""']",15,,"['Page 112:\n[¬s]""20.067[¬e]""']",20.067,,"['Page 112:\n[¬s]""4.605[¬e]""']",4.605,,"['Page 112:\n[¬s]""20.933[¬e]""']",20.933,,"['Page 112:\n[¬s]""3.575[¬e]""']",3.575,,NA,NA,,NA,NA,,NA,NA,,"['Page 112:\n[¬s]""Waitlist Control (n=16)[¬e]""']",16,,"['Page 112:\n[¬s]""18.500[¬e]""']",18.5,,"['Page 112:\n[¬s]""6.928[¬e]""']",6.928,,"['Page 112:\n[¬s]""19.936[¬e]""']",19.936,,"['Page 112:\n[¬s]""4.500[¬e]""']",4.5,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
37671548,Dockrell (2015),2015,['Teaching assistants'],NA,NA,['Yes'],NA,NA,,"['Page 34:\n[¬s]""347[¬e]""']",347,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 34:\n[¬s]""245[¬e]""']",245,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
