id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,cl_approach_spec,cl_grp_size,cl_collab_kind,cl_stud_collab,cl_extr_rewards,cl_what_rewards,cl_comp_elem,cl_teacher_role_info,cl_pup_feedback,cl_pup_feedback_who
37671594,Bennett (2013),2013,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Other outcome']",0.0032,0.4369,['Post-test unadjusted (select one from this group)'],AWMA - Verbal STM (word recall),With business as usual,['Sample: Low achievers'],Cognitive  other,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,"['Primary/elementary school', 'Secondary/High school']","['7', '8', '9', '10', '11', '12']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Student alone (self-administered)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],"['Teaching assistants', 'Other school staff']",10,3,25,"['Toolkit: Feedback', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296603,Biggart (2015),2015,['Technical report'],"['Digital technology', 'Teaching assistants']","['Toolkit primary outcome', 'Reading primary outcome']",0.1641,0.2362,['Post-test adjusted for baseline attainment'],NGRT Digitial Edition,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.1641,0.2362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,21,NA,['Primary/elementary school'],"['11', '10']",TRUE,51.5,"['UK (Select all that apply)', 'England']",['Multisite RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Teaching assistants'],6,5,30,"['Toolkit: Digital technology', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671632,Blatchford (2007),2007,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0001,0.125,['Post-test adjusted for baseline attainment AND clustering'],End of Year 6 KS2 Literacy SATs scores,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0001,0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5755,153,224,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,"['UK (Select all that apply)', 'England']",['Retrospective QED  '],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Teaching assistants'],117,5,144,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671541,Brown (2005),2005,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",1.0488,0.2378,['Post-test adjusted for baseline attainment'],Woodcock Passage Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.0488,0.2378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,7,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",FALSE,46.0,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",39,2,45,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671596,Bunn (2008),2008,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.6246,0.238,['Post-test unadjusted (select one from this group)'],Salford Reading Age scores,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.6246,0.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,9,11,['Primary/elementary school'],"['8', '9', '7']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Small group/intensive support (3-5)'],['No'],['No'],['No'],['During regular school hours '],['Teaching assistants'],39,4,100,"['Toolkit: Small Group Tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671542,Burgoyne (2012),2012,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0969,0.2725,['Post-test unadjusted (select one from this group)'],Single Word Reading subtest from York Assessment of Reading (YARC) ,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0969,0.2725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,50,NA,['Primary/elementary school'],"['9', '10', '7', '8']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],40,5,40,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671546,Clarke (2017),2017,['Journal article'],"['Teaching assistants', 'Phonics', 'One to one tuition']","['Toolkit primary outcome', 'Reading primary outcome']",0.4545,0.172,['Post-test adjusted for baseline attainment AND clustering'],NGRT Reading Comprehension (RI + C),With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4545,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,27,NA,['Secondary/High school'],"['11', '12', '13']",FALSE,30.0,"['UK (Select all that apply)', 'England']",['Multisite RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],20,3,35,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671598,Cole (2009),2009,['Dissertation or thesis'],['Teaching assistants'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.4227,0.4469,['Post-test unadjusted (select one from this group)'],Multiple Skills Basic Math Probes (M-CBM),With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.4227,0.4469,NA,NA,NA,NA,NA,NA,26,2,NA,['Middle school'],"['11', '12']",NA,NA,['USA'],['Multisite RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['Before/after school'],"['Research staff', 'Teaching assistants']",10,4,13,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671620,Cooper (2016) TA,2016,['Dissertation or thesis'],['Teaching assistants'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0241,0.3594,['Post-test adjusted for baseline attainment'],Basic Number Screening test (BNST),With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.0241,0.3594,NA,NA,NA,NA,NA,NA,31,3,3,['Secondary/High school'],"['12', '13', '14', '15']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],7,2,20,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671548,Dockrell (2015),2015,['Technical report'],['Teaching assistants'],"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",0.26,0.08,['Post-test adjusted for baseline attainment'],WIAT-11 (Sentence combining),With business as usual,['Sample: All'],Literacy  writing,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,9,NA,['Primary/elementary school'],"['3', '4', '5', '6', '7', '8', '9', '10', '11']",FALSE,17.5,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",78,4,30,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
