sample_analysed_info,sample_analysed_ht
66,"['Page 39:\n[¬s]""eading Recovery instruction was received by 33 students, and Project READ instruction was received by 33 students (N = 66)[¬e]""']"
73,NA
86,"['Page 3:\n[¬s]"" Due to attrition, we ended the study with 61 in the tutored group and 25 in the contrast group. Demographic data for Cohort 1 are presented in Table 1""\n"". Due to at- trition, we ended the study with 76 in the tutoring group and 81 in the contrast group. Demographic data for Cohort 2 are presented in Table 2.[¬e]""']"
84,"['Page 9:\n[¬s]"" Students in the final sam- ple were those students who participated in the full 2 years of the evaluation: 43 students in the SMART group and 41 students in the comparison group. A[¬e]""']"
36,"['Page 29:\n[¬s]""36 kindergarten children (18 experimental, 18 control)[¬e]""']"
63,"['Page 2:\n[¬s]"" Sixty-three ""\n""38 treatment[¬e]""']"
69,"['Page 3:\n[¬s]""t. There was no attrition during this study, and all analyses are based on 37 children in the treatment group and 32 children in the control group.[¬e]""']"
141,"['Page 16:\n[¬s]""156 students at pre- and\npost-test and 141 students at follow-up.[¬e]""']"
187,"['Page 6:\n[¬s]""187 (89 con-\ntrol and 98 treatment)[¬e]""']"
83,"['Page 10:\n[¬s]""Forty students from the treatment schools were available for both pretests and posttests: 20 second graders, 15 third graders, 3 fourth graders, and 2 fifth graders. Forty-three students from the comparison schools completed the pretests and posttests: 17 second graders, 17 third graders, 4 fourth graders, 2 fifth graders, and 3 sixth graders.[¬e]""']"
234,NA
40,"['Page 6:\n[¬s]""e 40 students whose scores corresponded to the lowest quartile on this test were randomly assigned to experimental and con- trol grou[¬e]""']"
62,NA
46,"['Page 8:\n[¬s]""26 of the 32 children were considered by their\nRR teachers to have successfully completed the program. These children formed\nthe RR group,[¬e]""', 'Page 9:\n[¬s]""Twenty children whose end ofYear 1 mean scores on measures ofcontext-free\nword identification and reading book level (see following section) were similar to\nthose oftheRRchildren formed a poor reader comparison (PRC) group[¬e]""']"
139,"['Page 12:\n[¬s]""72""\n""67[¬e]""']"
59,"['Page 4:\n[¬s]"" Sixty children,[¬e]""', 'Page 5:\n[¬s]""Thirty students, fifteen per school, were randomly assigned to an experimental""\n"" (One female student from the control group moved in late November, leaving 29 total at the time of post testing; thirty experimental group children were post tested for a total N of 59).[¬e]""']"
483,"['Page 8:\n[¬s]""Four hundred eig hty three [¬e]""']"
862,"['Page 59:\n[¬s]""Gender (n=862)[¬e]""']"
65,"['Page 89:\n[¬s]""Using random usignment this group of65 students was divided into the tutored and untutored groups resulting in 34 students in the untutored group and 31 students in the tutored group (Table 2).[¬e]""']"
181,NA
40,NA
134,NA
46,NA
225,"['Page 9:\n[¬s]""Control\nN = 111""\n""Intervention\nN = 118""\n""Total\nN = 229[¬e]""']"
32,"['Page 3:\n[¬s]""fifty-three children\nparticipated in total.[¬e]""']"
307,"['Page 7:\n[¬s]""The 307 students who met either or both criteria were eligible for further screening on a reading\nand an abbreviated IQ measure.[¬e]""']"
180,"['Page 3:\n[¬s]""The 180 students (90\nat each site) represented 45 classrooms in Nashville and 39 class-\nrooms in Houston.[¬e]""']"
591,"['Page 7:\n[¬s]"" 973 students,[¬e]""']"
125,"['Page 1:\n[¬s]""Students (N = 125) were randomly\nassigned to the two active treatments and controls.[¬e]""']"
484,NA
45,NA
192,"['Page 8:\n[¬s]""Thus,\nthe data reported are for 96 subjects per group.[¬e]""']"
308,NA
74,"['Page 5:\n[¬s]""A random sample from Yr 2 pupils receiving one-to-one support (n = 37) in the second term were identiÞed and matched with a sample of Yr 2 pupils not receiving one-to-one support (n = 37).[¬e]""', 'Page 6:\n[¬s]""The total sample comprised 74 pupils[¬e]""']"
126,"['Page 3:\n[¬s]""126 children[¬e]""']"
63,"['Page 5:\n[¬s]""o 12[¬e]""']"
334,"['Page 89:\n[¬s]""Due to attrition, the total number of participants was reduced to 334 ( 13 7 females and 197 males). The participants were divided into three cohorts according to the year served in ICARE (see Table 1).[¬e]""']"
75,"['Page 5:\n[¬s]""75 foster children[¬e]""']"
1481,"['Page 28:\n[¬s]""Analysed (school n=71, pupil n=737)""\n""Analysed (school n=71, pupil n=744)[¬e]""']"
135,"['Page 1:\n[¬s]"" A total of 135 students were studied, 75 in the experimental group participating in Reading Recovery and 60 in a comparison group who were approximately at the same reading achievement level at the start of the study.[¬e]""']"
124,NA
1166,"['Page 4:\n[¬s]"" The fnal sample included 1,166 students,[¬e]""']"
1265,"['Page 8:\n[¬s]""1,265 consented to participate.[¬e]""']"
106,"['Page 8:\n[¬s]""Comparisons between the E and\nC conditions were based on the sample from the postpoint (54 Es, 52 Cs).[¬e]""']"
45,NA
18,"['Page 6:\n[¬s]""Then we paired these nine with nine controls from the remaining students, matching each pair as closely as possible on KTEA scores, ERAS scores, and oral reading selections.""\n""eight pairs who finished the study are presented in Table 1.[¬e]""']"
36,"['Page 59:\n[¬s]""36 students, 18 treatment and 18 contrast[¬e]""']"
NA,"['Page 59:\n[¬s]""The subjects in the study were seventy-two beginning first grade students""\n"" From the alternative ranking list, twenty-four average subjects were randomly selected to form a criterion group. Forty-eight subjects were selected from a pool of students who scored in the lowest 20 percent of their classes on Clay\'s (1979) diagnostic survey. Twenty\xad four subjects were then assigned to Reading Recovery[¬e]""', 'Page 60:\n[¬s]""The remaining twenty-four subjects were assigned to the Chapter I control group.[¬e]""']"
126,"['Page 11:\n[¬s]""126 students consented to their participation in the tutoring phase of the study[¬e]""']"
883,"['Page 7:\n[¬s]""size for the EC program was 430 and the control group was 453[¬e]""']"
233,"['Page 58:\n[¬s]""The overall sample included 233 students - 118 in the treatment group and 115 in\nthe control group.[¬e]""']"
884,"['Page 10:\n[¬s]""We used an initial version of the Logic-ITA in 2001 with 442 enrolled students. We\nused the Unix version of the Logic-ITA during the semester and released the\nplatform-free Logic Tutor (the ITS only) during the study week before the exam. We\nnow have a web-based version ready for use in 2002.\nWe compared the results of the 2001 class, who used the Logic-ITA, with those\nof the 2000 class, who did not use the tool. We obtained encouraging results. As\nshown below, students obtained higher marks in 2001.[¬e]""']"
81,"['Page 2:\n[¬s]""pt. The children were allocated randomly to either\nVRH (N=43) or control-group (N=3[¬e]""']"
291,NA
49,NA
225,"['Page 5:\n[¬s]""en who were lo""\n"" study are provided later. Of the 1""\n""l- dren, 59 were in the TEACH group""\n"" the phonetic group, and 57 in the ""\n"" tact control gr""\n""These procedures yielded a""\n""of 225 children (168 at risk a""\n""ris[¬e]""']"
1341,"['Page 10:\n[¬s]""Thus, the final sample of students included in\nthe evaluation totaled 1,341 students.[¬e]""']"
391,NA
9784,"['Page 38:\n[¬s]""A total of 9,784 students were""\n""identified for the RCT through this screening process.[¬e]""']"
60,NA
